product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country
Jin Wei Ge Brand Lang Shen Yi Hao 800mg Tablet [(金威哥) 狼神1號],Tablet,Red,Oblong,800,Sildenafil; Tadalafil,Xi Zang La Sa Kang Wei Bao Jian Pin You Xian Gong Si (西藏拉萨康威保健品有限公司),China
Jinglida So Young Formula 200mg Tablet,Tablet,Green,Round,na,Aminotadalafil,Highope Food & Pharmaceutical Co.; Ltd,Taiwan
JinMaoShiWang 1500mg Tablet (金毛狮王片),Tablet,Brown,Teardrop,SV,Sildenafil,Ge Er Mu Fei Long&quot; health products Co Ltd.  Qinghai (青海格尔木飞龙保健品有限公司),na
Jiu Chong Tian Capsule (九重天),Capsule,Red; Beige,Oblong,na,Sildenafil,na,na
Ju He Tang Brand Mei Guo Zhan Shen 1000mg Tablet (巨和堂牌美国战神 1000mg),Tablet,Black,Oblong,Drawing of a dragon,Sildenafil; Vardenafil,Xiang Gang Ke Long Ke Ji You Xian Gong Si (香港科龙科技有限公司),China
Kang Bo Si Jian Fei Jiao Nang 350mg (康柏丝减肥胶囊),Capsule,Green,Oblong,na,Phenolphthalein; Sibutramine,Xin Xi Lan Ao Ke Lan Jian Kang Shi Pin Ji Tuan You Xian Gong Si (新西兰奥克兰健康食品集团有限公司),China
Kang Li Brand Zhong Hua Niu Bian 1500mg Capsule (康力牌中华牛鞭 1500mg),Capsule,Orange; Grey,Oblong,na,Glibenclamide; Lignocaine; Sildenafil; Sibutramine; Tadalafil; Norethisterone,Qing Hai Shen Kang Li Sheng Wu Ke Ji Kai Fa You Xian Gong Si (青海省康力生物科技开发有限公司),na
Kang Xi Da Di Long Yang Dan 1000mg Capsule (康熙大第龍陽丹),Capsule,Green,Oblong,金聖力 and two creatures facing one another,Sildenafil,Qing Hai Jin Sheng Li Bao Jian Pin You Xian Gong Si (青海金聖力保健品有限公司),na
Kangli Bao Jian Niu Bian Da Bu Wan 1.5g (康力保健牛鞭大补丸 1.5g),Pill,Black,Oval,na,Sildenafil,延吉康力保健品有限公司,na
Kangli Brand JinBa Men 2500mg (康力牌劲霸男人),Capsule & Pill,Black; Gold,Oblong & Round,KANGLI 速效壮阳,Lignocaine; Naproxen; Sildenafil,Yan Ji Kang Li Bao Jian Pin You Xian Gong Si (延吉康力保健品有限公司),na
Kangli Brand Le Produit Fin De Aphrodisiaque 2500mg Capsule (康力保健牌壮阳极品一粒速效),Capsule & Pill,Black; Pearl,Oblong & Round,KANGLI 速效壮阳,Sibutramine; Sildenafil,Yan Ji Kang Li Bao Jian Pin You Xian Gong Si (延吉康力保健品有限公司),na
Kangli Brand Tian Xia Di Yi Bang 2500mg Capsule (康力牌天下第一棒),Capsule & Pill,Black; Pearl,Oblong & Round,KANGLI 速效壮阳,Phenolphthalein; Sibutramine; Sildenafil; Diclofenac; Strychnine,Yan Ji Kang Li Bao Jian Pin You Xian Gong Si (延吉康力保健品有限公司),na
King Brand Black King 1800mg Capsule (黑金刚),Capsule,Gold,Oblong,升阳胶囊,Sildenafil,Shengyang HealthCare Corporation of Tibet (西藏升阳保健品有限公司),na
Laboratory Formula Healthcare Series MENERGY™ MNAEssence 450mg Capsule,Capsule,Transparent,Oblong,na,AcetilNAacid; Acetildenafil,Hong Kong Well Vantage Enterprises Ltd,na
LAMI Kapsul,Capsule,Orange; Red,Oblong,LAMI (on both red and orange portions of capsule),Sibutramine,Herbalindo SM,Indonesia
Lang Yi Hao 145mg Tablet (极品狼1号),Tablet,Blue,Diamond,DL,Sildenafil; Metronidazole,Hei Long Jiang Shen Jia Mu Si Shi Gao Xin Zhi Yao Zong Chang (黑龙江省佳木斯市高新制药总厂),China
LANGSING ALAMI Kapsul,Capsule,Orange; Red,Oblong,LAMI (on both red and orange portions of capsule),Sibutramine,PT. HEMA CARE,Indonesia
Li Da Dai Dai Hua Jiao Nang (丽达代代花胶囊),Capsule,Green,Oblong,达立™ on one side and 0871NA8335000 on the other side,Phenolphthalein; Sibutramine; Sildenafil,Kunming Lingcao Shengwu Keji Youxian Gongsi (昆明灵草生物科技有限公司),China
Li Jia Li (&quot;F + F&quot; Super Enforcement Capsule) (力加力超强生力胶囊),Capsule,Gold,Oblong,na,Sildenafil,na,na
Li Long Brand De Guo Hei Jin Gang 2800mg Tablet (力龙牌德国黑金刚),Tablet,Black,Teardrop,C200,Sildenafil,Tibet La Sa Shi Li Long Sheng Wu Ji Shu You Xian Gong Si (西藏拉萨市力龙生物制品公司),China
Li Long Brand Hao Gong Fu 2500mg Tablet (力龙牌好功夫),Tablet,Beige,Teardrop,C100,Sildenafil,Hai Kou Hong Da Yi Yao Bao Jian Pin Gong Si (海口宏大医药保健品公司),China
Li Long Brand Jin Gang Shen Dan 2800mg Capsule (力龙牌金刚神丹),Capsule,Green,Oblong,力龙生物,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China
Li Long Brand Ling Tou Lang 2800mg Capsule (力龙牌领头狼),Capsule,Blue; White,Oblong,力龙生物,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China
